well_384,well_96
A01,A01
A02,A01
A03,A02
A04,A02
A05,A03
A06,A03
A07,A04
A08,A04
A09,A05
A10,A05
A11,A06
A12,A06
A13,A07
A14,A07
A15,A08
A16,A08
A17,A09
A18,A09
A19,A10
A20,A10
A21,A11
A22,A11
A23,A12
A24,A12
B01,A01
B02,A01
B03,A02
B04,A02
B05,A03
B06,A03
B07,A04
B08,A04
B09,A05
B10,A05
B11,A06
B12,A06
B13,A07
B14,A07
B15,A08
B16,A08
B17,A09
B18,A09
B19,A10
B20,A10
B21,A11
B22,A11
B23,A12
B24,A12
C01,B01
C02,B01
C03,B02
C04,B02
C05,B03
C06,B03
C07,B04
C08,B04
C09,B05
C10,B05
C11,B06
C12,B06
C13,B07
C14,B07
C15,B08
C16,B08
C17,B09
C18,B09
C19,B10
C20,B10
C21,B11
C22,B11
C23,B12
C24,B12
D01,B01
D02,B01
D03,B02
D04,B02
D05,B03
D06,B03
D07,B04
D08,B04
D09,B05
D10,B05
D11,B06
D12,B06
D13,B07
D14,B07
D15,B08
D16,B08
D17,B09
D18,B09
D19,B10
D20,B10
D21,B11
D22,B11
D23,B12
D24,B12
E01,C01
E02,C01
E03,C02
E04,C02
E05,C03
E06,C03
E07,C04
E08,C04
E09,C05
E10,C05
E11,C06
E12,C06
E13,C07
E14,C07
E15,C08
E16,C08
E17,C09
E18,C09
E19,C10
E20,C10
E21,C11
E22,C11
E23,C12
E24,C12
F01,C01
F02,C01
F03,C02
F04,C02
F05,C03
F06,C03
F07,C04
F08,C04
F09,C05
F10,C05
F11,C06
F12,C06
F13,C07
F14,C07
F15,C08
F16,C08
F17,C09
F18,C09
F19,C10
F20,C10
F21,C11
F22,C11
F23,C12
F24,C12
G01,D01
G02,D01
G03,D02
G04,D02
G05,D03
G06,D03
G07,D04
G08,D04
G09,D05
G10,D05
G11,D06
G12,D06
G13,D07
G14,D07
G15,D08
G16,D08
G17,D09
G18,D09
G19,D10
G20,D10
G21,D11
G22,D11
G23,D12
G24,D12
H01,D01
H02,D01
H03,D02
H04,D02
H05,D03
H06,D03
H07,D04
H08,D04
H09,D05
H10,D05
H11,D06
H12,D06
H13,D07
H14,D07
H15,D08
H16,D08
H17,D09
H18,D09
H19,D10
H20,D10
H21,D11
H22,D11
H23,D12
H24,D12
I01,E01
I02,E01
I03,E02
I04,E02
I05,E03
I06,E03
I07,E04
I08,E04
I09,E05
I10,E05
I11,E06
I12,E06
I13,E07
I14,E07
I15,E08
I16,E08
I17,E09
I18,E09
I19,E10
I20,E10
I21,E11
I22,E11
I23,E12
I24,E12
J01,E01
J02,E01
J03,E02
J04,E02
J05,E03
J06,E03
J07,E04
J08,E04
J09,E05
J10,E05
J11,E06
J12,E06
J13,E07
J14,E07
J15,E08
J16,E08
J17,E09
J18,E09
J19,E10
J20,E10
J21,E11
J22,E11
J23,E12
J24,E12
K01,F01
K02,F01
K03,F02
K04,F02
K05,F03
K06,F03
K07,F04
K08,F04
K09,F05
K10,F05
K11,F06
K12,F06
K13,F07
K14,F07
K15,F08
K16,F08
K17,F09
K18,F09
K19,F10
K20,F10
K21,F11
K22,F11
K23,F12
K24,F12
L01,F01
L02,F01
L03,F02
L04,F02
L05,F03
L06,F03
L07,F04
L08,F04
L09,F05
L10,F05
L11,F06
L12,F06
L13,F07
L14,F07
L15,F08
L16,F08
L17,F09
L18,F09
L19,F10
L20,F10
L21,F11
L22,F11
L23,F12
L24,F12
M01,G01
M02,G01
M03,G02
M04,G02
M05,G03
M06,G03
M07,G04
M08,G04
M09,G05
M10,G05
M11,G06
M12,G06
M13,G07
M14,G07
M15,G08
M16,G08
M17,G09
M18,G09
M19,G10
M20,G10
M21,G11
M22,G11
M23,G12
M24,G12
N01,G01
N02,G01
N03,G02
N04,G02
N05,G03
N06,G03
N07,G04
N08,G04
N09,G05
N10,G05
N11,G06
N12,G06
N13,G07
N14,G07
N15,G08
N16,G08
N17,G09
N18,G09
N19,G10
N20,G10
N21,G11
N22,G11
N23,G12
N24,G12
O01,H01
O02,H01
O03,H02
O04,H02
O05,H03
O06,H03
O07,H04
O08,H04
O09,H05
O10,H05
O11,H06
O12,H06
O13,H07
O14,H07
O15,H08
O16,H08
O17,H09
O18,H09
O19,H10
O20,H10
O21,H11
O22,H11
O23,H12
O24,H12
P01,H01
P02,H01
P03,H02
P04,H02
P05,H03
P06,H03
P07,H04
P08,H04
P09,H05
P10,H05
P11,H06
P12,H06
P13,H07
P14,H07
P15,H08
P16,H08
P17,H09
P18,H09
P19,H10
P20,H10
P21,H11
P22,H11
P23,H12
P24,H12
