"Compound","Rack.Number","N","yield.est","yield.sd","yield.log2.ratio","p.yield","p.adj.yield"
"Abemaciclib",1,4,3169.1669271837,205.297289037645,-0.000900318686931,0.985973355367824,0.998298022309921
"ABT 239",1,4,2987.07130433408,213.026801779722,-0.086272293805092,0.181921901860038,0.316896216143292
"Almitrine",1,4,2289.33557247229,29.1124423170855,-0.470075020734735,1.58E-17,4.27E-16
"Amiodarone",1,4,1075.42007398554,15.6309851568806,-1.56010366383259,1.21E-60,1.97E-58
"Amodiaquine",1,4,3216.05766276498,109.633541451307,0.020289303339009,0.482737650456002,0.60622867731684
"Amuvatinib",1,4,2969.39690502864,97.6266411241984,-0.094834026082891,0.019295424693498,0.066507634049928
"Apilimod",1,4,2507.0723465235,58.818204604361,-0.339000341829448,2.94E-06,2.50E-05
"Astemizole",1,4,3238.86664064783,68.5668601220623,0.030485096408585,0.141913613935829,0.270470652442403
"Atazanavir",1,4,3095.68467860551,201.881145158246,-0.034745442015381,0.511931652532064,0.634474938317689
"Bemcentinib",1,4,12043.2564919055,4250.71773741904,1.9251496735021,0.025029314854262,0.077090096748318
"Benztropine",1,4,2969.0297049578,240.225452455866,-0.09501244294536,0.190721374697044,0.321842319801261
"Camostat",1,4,3129.67312768472,85.5743755907053,-0.018991984726213,0.419465965318019,0.556995790012452
"Captopril",1,4,3121.49121093457,69.185707198275,-0.022768566758478,0.259671997575816,0.408416151527012
"Chlorpromazine",1,4,3100.13505804691,53.1258439760417,-0.03267290222976,0.066237273765907,0.160155796269805
"Ciclesonide",1,4,3378.06755535076,43.8022987371285,0.091194209349578,8.21E-05,0.000521147039188
"Clomipramine",1,4,3145.76219833973,51.2592538131042,-0.011594355048368,0.443029429967469,0.565124154761654
"Cyclosporine",1,4,3073.01813838444,43.4076364041729,-0.045347688002288,0.007834150775547,0.030217438705681
"Daclatasvir",1,4,3217.46043915539,109.691383292821,0.020918439230736,0.470381805653828,0.595326972780626
"Digoxin",1,4,3060.01504090326,244.421107388993,-0.051465226196789,0.431981197976738,0.562939864405588
"dmso",1,64,3171.14527368396,140.22211412201,0,1,1
"Doxycycline",1,4,3174.4082438592,116.300347175664,0.001483707068984,0.960024606102222,0.984329026509873
"Drotaverine",1,4,3272.55756558585,91.9490123268196,0.045414599555405,0.109529707025324,0.227484776129519
"Emetine",1,4,3193.49512152337,65.8962145115086,0.01013227619345,0.575767142286926,0.687301411943835
"Ethaverine",1,4,3295.59485334332,73.8292250415671,0.0555349241074,0.032808542362094,0.097293836367077
"Favipiravir",1,4,3195.65000033555,257.688415617894,0.011105437088885,0.862145264571044,0.931116885736728
"Ferroquine",1,4,3032.55224679756,105.004613647184,-0.064471469160851,0.071468581685843,0.170263385780978
"Fluphenazine",1,4,3161.30080562244,60.1889245026289,-0.004485652626585,0.788040494464969,0.868452789818537
"GSK 983",1,4,2304.46420790546,61.9466526682159,-0.460572609979134,1.46E-06,1.47E-05
"GSK-369796",1,4,3130.0111734305,66.6969094057348,-0.01883616315501,0.325962627929184,0.480054052041162
"Halofantrine",1,4,937.399101296603,544.285050849088,-1.75826865362697,0.003692503189444,0.017091014762567
"Haloperidol",1,4,3122.88045698901,70.0526570523654,-0.022126625973089,0.276179318477906,0.423201127773024
"Hydroxychloroquine",1,4,3063.77659831555,201.351401670978,-0.049692866447479,0.366512836985876,0.509960877352411
"Hydroxyprogesterone",1,4,3083.4073426083,73.5960672623194,-0.040478476903473,0.090008243374893,0.199744320914146
"Imatinib",1,4,3248.51625320556,40.8471739341071,0.034776952979514,0.018711525587285,0.065897111850874
"Indomethacin",1,4,1982.05233311087,1400.27940174281,-0.678008915196371,0.187990058163544,0.32057252023678
"Itraconazole",1,4,2309.6565958944,46.1552063383211,-0.457325605454258,6.37E-09,8.60E-08
"Ivermectin",1,4,3116.23144623612,52.32755624055,-0.025201582351576,0.129945789785513,0.258274923984794
"Ketoconazole",1,4,2079.97349691011,29.231307287413,-0.608438824800027,6.68E-19,2.71E-17
"Lonafarnib",1,4,1124.34956713782,583.307968916386,-1.4959133224286,0.005834259202987,0.023628749772099
"Lopinavir",1,4,2977.19490425166,90.0963453399821,-0.091050298658055,0.016182122627221,0.058255641457995
"Loratidine",1,4,2505.53325286448,92.7539970523241,-0.33988628540314,0.000203120319694,0.001218721918164
"Lusutrombopag",1,4,3188.14235186086,73.4095234084911,0.007712077274173,0.695166952572495,0.782062821644057
"LY 2228820",1,4,3038.71399393204,238.221442128876,-0.061543076718875,0.348637095653266,0.499816013237426
"Manidipine",1,4,2226.27733125637,29.7090464071108,-0.510370647500085,1.99E-17,4.60E-16
"Midostaurin",1,4,2848.73633893315,63.490537765352,-0.154681869328886,0.000274504430995,0.001588204207897
"MK-2206",1,4,3051.19703913025,98.1744755075061,-0.055628621638098,0.086105953053761,0.193738394370962
"N-Desethylamodiaquine",1,4,3257.80740086443,81.1121678050639,0.038897344916903,0.117671813454489,0.241301693413002
