"Compound","Rack.Number","N","yield.est","yield.sd","yield.log2.ratio","p.yield","p.adj.yield"
"(-)-Epigallocatechin gallate (EGCG)","L1035-01",4,4744.76019634031,80.5755607973375,-0.031744659713514,0.069677213066401,0.146933167395576
"17-DMAG (Alvespimycin) HCl","L1035-01",4,4382.47589770172,37.0270057146888,-0.146333677318949,1.06E-10,2.44E-09
"5-Aminovaleric acid hydrochloride","L1035-01",4,5281.53535321392,86.9110441932781,0.12287755104003,0.000427268422142,0.002462727710957
"5-Iodotubercidin","L1035-01",4,5041.16812963985,22.1013002378961,0.055678237004636,1.26E-08,2.14E-07
"5-R-Rivaroxaban","L1035-01",4,4925.34543096573,55.2152021640054,0.022145075213682,0.06717946429929,0.142971680431822
"ABT-888 (Veliparib)","L1035-01",4,4904.32731798242,52.4695248243155,0.015975434706494,0.15105254606965,0.255445674083362
"Acitretin","L1035-01",4,4127.2164748987,26.2019230919501,-0.232910723415687,2.99E-20,2.07E-18
"Adapalene","L1035-01",4,4481.25696770426,33.0801132132382,-0.114176376939406,1.22E-10,2.73E-09
"AEBSF.HCl","L1035-01",4,4738.39446737847,118.164461216763,-0.033681527203282,0.152647849410585,0.256473107309282
"AGI-6780","L1035-01",4,5028.81381741227,144.993597179038,0.05213830733636,0.085819608243089,0.170831230405139
"Aliskiren","L1035-01",4,4879.48721415587,161.766352213836,0.008649708837622,0.747877988696403,0.819998323141367
"Alogliptin Benzoate","L1035-01",4,4993.13994581828,130.742715108336,0.041867508602833,0.112563770715965,0.209950403807305
"AN-2728","L1035-01",4,3580.34088401011,40.0706455842978,-0.437982881012268,5.01E-15,1.81E-13
"Angiotensin (1-7)","L1035-01",4,4579.21240427887,107.48649583373,-0.082980348748155,0.009167256882763,0.031183701691365
"Aprotinin","L1035-01",4,12983.8813110825,388.584817925113,1.42056997797162,2.47E-05,0.000215201198372
"Asunaprevir (BMS-650032)","L1035-01",4,4561.15244240042,49.3937914906233,-0.088681445320081,1.07E-05,0.000112893268629
"Batimastat (BB-94)","L1035-01",4,4481.64349869743,68.1505660589669,-0.114051942589291,0.000112109424638,0.000809137586516
"Bestatin","L1035-01",4,4635.55244830965,135.05083574633,-0.065338549683473,0.043750877699157,0.103456491425358
"BMS-626529","L1035-01",4,4500.20998195488,70.7066491441184,-0.108087514082091,0.000211520214265,0.001360944014265
"Boceprevir","L1035-01",4,4579.81407314359,50.508821288651,-0.082790803562152,2.49E-05,0.000215201198372
"Bortezomib (PS-341)","L1035-01",4,6929.62708312328,58.2317088984747,0.514697882089905,1.05E-10,2.44E-09
"CA 074","L1035-01",4,4972.61052568561,29.1531485568696,0.035923604107607,0.000130294095346,0.000916475416415
"Calpain Inhibitor I, ALLN","L1035-01",4,4854.77459514353,103.128263785711,0.00132447962337,0.940255985501198,0.967053863650551
